BeginDate,EndDate,TimeWindow,Correlation,Corr. Stddev,#EQs
1975.2293599999998,1976.22932,1.0,2.7661,1.8802,298
1975.3062799999998,1976.30624,1.0,2.6648,1.8503,300
1975.3832,1976.38316,1.0,2.5536,1.7953,280
1975.46012,1976.46008,1.0,2.4377,1.741,264
1975.53704,1976.537,1.0,2.4197,1.7044,253
1975.61396,1976.61392,1.0,2.3614,1.7234,212
1975.6908799999999,1976.69084,1.0,2.217,1.6664,198
1975.7677999999999,1976.76776,1.0,1.9773,1.502,171
1975.8447199999998,1976.84468,1.0,1.9339,1.462,184
1975.9216399999998,1976.9216,1.0,1.9741,1.4555,180
1975.99856,1976.99852,1.0,2.0188,1.4636,177
1976.07548,1977.07544,1.0,2.2127,1.6801,179
1976.1524,1977.15236,1.0,2.2404,1.7129,180
1976.22932,1977.22928,1.0,2.3351,1.7419,178
1976.30624,1977.3062,1.0,2.2282,1.7945,158
1976.3831599999999,1977.38312,1.0,2.2599,1.8173,149
1976.4600799999998,1977.46004,1.0,2.2045,1.7984,141
1976.5369999999998,1977.53696,1.0,2.1204,1.7547,136
1976.61392,1977.61388,1.0,2.1476,1.7525,131
1976.69084,1977.6908,1.0,2.0045,1.6944,117
1976.76776,1977.76772,1.0,1.9593,1.6651,122
1976.84468,1977.84464,1.0,2.2369,1.7992,110
1976.9216,1977.92156,1.0,1.9581,1.6711,114
1976.9985199999999,1977.99848,1.0,1.9265,1.6469,105
1977.0754399999998,1978.0754,1.0,1.6409,1.4833,87
1977.1523599999998,1978.15232,1.0,1.5441,1.351,83
1977.2292799999998,1978.22924,1.0,1.4217,1.1612,86
1977.3062,1978.30616,1.0,1.411,1.1273,85
1977.38312,1978.38308,1.0,1.4512,1.0361,99
1977.46004,1978.46,1.0,1.485,1.0765,105
1977.53696,1978.53692,1.0,1.4703,1.022,107
1977.6138799999999,1978.61384,1.0,1.4231,0.9619,105
1977.6907999999999,1978.69076,1.0,1.4632,0.9225,112
1977.7677199999998,1978.76768,1.0,1.4671,0.8606,132
